id,name,country,city,continent,language,freemover,cost_band,website,subjects,note
NL002,University of Amsterdam,Netherlands,Amsterdam,Europe,English,Yes,Medium,https://www.uva.nl/en/education/exchange/independent-student-exchange-free-mover/independent-student-exchange-free-mover.html,"Social Sciences, Law, Humanities, Media, Communication, Psychology, Economics, Business, Political Science, History, Philosophy, Languages, Computer Science, Data Science, Sociology, Medicine",Runs an 'independent student exchange (free mover)' programme. Tuition charged per course.
NL003,Eindhoven University of Technology,Netherlands,Eindhoven,Europe,English,Yes,,https://www.tue.nl/en/education/become-a-tue-student/exchange-students/application,"Engineering, Mechanical Engineering, Electrical Engineering, Computer Science, Data Science, Artificial Intelligence, Industrial Design, Applied Physics, Mathematics, Biomedical Engineering, Chemical Engineering, Architecture, Sustainable Energy",Accepts fee-paying free movers (pay tuition to TU/e); confirm the amount for your nationality.
NL004,Utrecht University,Netherlands,Utrecht,Europe,English,Yes,Medium,https://www.uu.nl/en/education/exchange-and-visiting-students,"Humanities, Social Sciences, Law, Economics, Psychology, History, Philosophy, Languages, Geosciences, Environmental Science, Biology, Chemistry, Physics, Mathematics, Computer Science, Medicine, Veterinary Medicine",Accepts visiting students / free movers. Tuition charged per course (approx. EUR 875-1075 per 7.5 ECTS).
NL005,University of Amsterdam - Economics & Business,Netherlands,Amsterdam,Europe,English,Yes,Medium,https://www.uva.nl/en/education/exchange,"Business, Economics, Finance, Accounting, Marketing, Data Science, Econometrics, Management",Economics & Business faculty free-mover option; fees charged per course.
NL006,University of Groningen,Netherlands,Groningen,Europe,English,Yes,Medium,https://www.rug.nl/let/studeren-bij-ons/exchange/free-movers,"Arts, Humanities, Social Sciences, Law, Economics, Business, Psychology, Philosophy, History, Languages, Computer Science, Mathematics, Physics, Chemistry, Biology, Medicine, Spatial Sciences",Accepts free movers; tuition charged per course unit.
NL007,Leiden University,Netherlands,Leiden,Europe,English,Yes,Medium,https://www.universiteitleiden.nl/en/education/exchange,"Law, International Law, Humanities, History, Languages, Archaeology, Social Sciences, Political Science, International Relations, Psychology, Computer Science, Mathematics, Physics, Astronomy, Biology, Medicine, Public Administration",Fee-paying free movers (independent study abroad) accepted; admitted per ~15 EC of approved courses.
NL008,Maastricht University,Netherlands,Maastricht,Europe,English,Yes,Medium,https://www.maastrichtuniversity.nl/education/exchange,"Business, Economics, International Business, Data Science, Law, European Law, Psychology, Neuroscience, Health Sciences, Medicine, Biomedical Sciences, Arts, Social Sciences, Political Science",Fee-paying visiting / contract-education students accepted (varies by faculty).
FI001,University of Helsinki,Finland,Helsinki,Europe,English,Yes,Free,https://studies.helsinki.fi/instructions/article/how-apply-visiting-student-free-mover,"Social Sciences, Law, Medicine, Pharmacy, Biology, Chemistry, Physics, Mathematics, Computer Science, Humanities, History, Philosophy, Languages, Theology, Agriculture, Forestry, Environmental Science, Education, Psychology",Visiting (free mover) students pay no tuition. Follow the exchange-student application periods.
FI002,University of Eastern Finland,Finland,Joensuu / Kuopio,Europe,English,Yes,Free,https://www.uef.fi/en/study-at-uef,"Health Sciences, Medicine, Pharmacy, Nursing, Forestry, Environmental Science, Biology, Education, Social Sciences, Law, Business, Computer Science, Theology",Finnish public university - visiting students generally pay no tuition (confirm with the office).
DK001,University of Copenhagen,Denmark,Copenhagen,Europe,English,Yes,Free,https://studies.ku.dk/study-abroad/guest/,"Social Sciences, Humanities, Law, Economics, Political Science, Natural Sciences, Biology, Chemistry, Physics, Mathematics, Computer Science, Medicine, Pharmacy, Public Health, Theology, Environmental Science",Guest / credit students. Free for EU/EEA students; non-EU pay tuition.
ES001,University of Barcelona,Spain,Barcelona,Europe,English / Spanish,Yes,Low,https://www.ub.edu/web/ub/en/estudis/estudiar_UB/estades_temporals/estades_temporals.html,"Business, Economics, Law, Humanities, History, Philosophy, Languages, Fine Arts, Social Sciences, Psychology, Communication, Biology, Chemistry, Physics, Mathematics, Medicine, Pharmacy, Earth Sciences",Temporary study via individual application; low Spanish public fees. Many courses in Spanish.
AT001,University of Vienna,Austria,Vienna,Europe,English / German,Yes,Low,https://studieren.univie.ac.at/en/admission/non-degree-programme/,"Humanities, Social Sciences, Law, Political Science, Economics, Business, Psychology, History, Philosophy, Languages, Linguistics, Computer Science, Mathematics, Physics, Chemistry, Biology, Astronomy, Environmental Science",Non-degree (free mover) admission for individual courses; low Austrian fees. Many courses in German.
DE001,LMU Munich,Germany,Munich,Europe,English / German,Yes,Free,https://www.lmu.de/en/study/admissions/visiting-students/,"Humanities, Social Sciences, Law, Economics, Business, Political Science, Psychology, History, Philosophy, Languages, Medicine, Biology, Chemistry, Physics, Mathematics, Computer Science, Statistics, Geosciences, Veterinary Medicine","German public university - no tuition, only ~EUR 150 semester fee. Many courses in German."
CZ001,Charles University,Czech Republic,Prague,Europe,English,Yes,Medium,https://cuni.cz/UKEN-142.html,"Humanities, History, Philosophy, Languages, Social Sciences, Political Science, International Relations, Law, Economics, Medicine, Pharmacy, Mathematics, Physics, Computer Science, Biology, Chemistry, Education","Free mover / visiting-student route; approx. EUR 2,100-3,000 per semester depending on faculty."
IE001,Trinity College Dublin,Ireland,Dublin,Europe,English,Yes,High,https://www.tcd.ie/study/study-abroad/inbound/entry-options/,"Arts, Humanities, Business, Economics, Law, Political Science, Engineering, Computer Science, Mathematics, Physics, Chemistry, Biology, Medicine, Nursing, Psychology, History, Languages, Drama, Film",Fee-paying Visiting Student route for EU & non-EU students (no exchange agreement needed).
TW001,National Yang Ming Chiao Tung University,Taiwan,Hsinchu,Asia,English,Yes,Medium,https://www.nycu.edu.tw/nycu/en/index,"Engineering, Electrical Engineering, Computer Science, Artificial Intelligence, Semiconductors, Photonics, Medicine, Biomedical Engineering, Biotechnology, Management, Business, Science",Visiting / non-degree study available (confirm intake dates).
TW002,National Taiwan University,Taiwan,Taipei,Asia,English,Yes,Medium,https://isss.ntu.edu.tw/exchange-visiting-students/application/,"Business, Economics, Law, Political Science, Social Sciences, Engineering, Computer Science, Electrical Engineering, Mathematics, Physics, Chemistry, Biology, Medicine, Public Health, Agriculture, Humanities, History, Languages, Arts",Visiting Student Programme for non-degree students; two intakes per year.
SK001,Hanyang University,South Korea,Seoul,Asia,English,Yes,Medium,https://exchangein.hanyang.ac.kr/visiting,"Business, Economics, Engineering, Computer Science, Electrical Engineering, Mechanical Engineering, Architecture, Social Sciences, Humanities, International Studies, Sports Science, Arts, Design, Law, Education","Direct Visiting (Free Mover) programme; 1,000+ courses in English. Intakes in March & September."
KR001,Yonsei University,South Korea,Seoul,Asia,English,Yes,Low,https://yiec.yonsei.ac.kr/yiec_en/program/overview_vsp.do,"Business, Economics, Social Sciences, Political Science, International Relations, Engineering, Computer Science, Humanities, History, Languages, Life Sciences, Medicine, Nursing, Communication, Psychology",Fee-paying Visiting Student Programme; 80% Yonsei tuition scholarship for all VSP students.
KR002,Korea University,South Korea,Seoul,Asia,English,Yes,Medium,https://gsc.korea.ac.kr/usr/exchange/visiting_program.do,"Business, Economics, Law, Political Science, International Studies, Social Sciences, Media, Engineering, Computer Science, Life Sciences, Medicine, Humanities, Languages, Psychology, Education","Fee-paying Visiting Student programme; approx. KRW 5.5M (~EUR 4,100) per semester. Intakes Mar & Sep."
JP001,Waseda University,Japan,Tokyo,Asia,English,Yes,Medium,https://www.waseda.jp/inst/cie/en/from-waseda/abroad/1year,"Liberal Arts, Political Science, Economics, Business, Commerce, Law, Social Sciences, International Relations, Humanities, Literature, Languages, Science, Engineering, Computer Science, Sport Sciences",Fee-paying study abroad open to students from non-partner institutions; English-taught tracks (SILS).
